rpm,time,hposition,hdraft,speed,fuel
0,2018-11-17 08:10:27,0,0,0,0
0,2018-11-17 08:10:28,0,-57498,0,0
0,2018-11-17 08:10:29,0,-143550,0,0
0,2018-11-17 08:10:30,0,-143574,0,0
0,2018-11-17 08:10:31,0,-143601,0,0
0,2018-11-17 08:10:32,0,-143607,0,0
0,2018-11-17 08:10:33,0,-143684,0,0
0,2018-11-17 08:10:34,0,-143635,0,0
0,2018-11-17 08:10:35,0,-143608,0,0
0,2018-11-17 08:10:36,0,-143733,0,0
0,2018-11-17 08:10:37,0,-143660,0,0
0,2018-11-17 08:10:38,0,-143603,0,0
0,2018-11-17 08:10:39,0,-143680,0,0
0,2018-11-17 08:10:40,0,-143727,0,0
0,2018-11-17 08:10:41,0,-143525,0,0
0,2018-11-17 08:10:42,0,-143746,0,0
0,2018-11-17 08:10:43,0,-143477,0,0
0,2018-11-17 08:10:44,0,-143688,0,0
0,2018-11-17 08:10:45,0,-143645,0,0
0,2018-11-17 08:10:46,0,-143478,0,0
0,2018-11-17 08:10:47,0,-143430,0,0
0,2018-11-17 08:10:48,0,-143460,0,0
0,2018-11-17 08:10:49,0,-143627,0,0
0,2018-11-17 08:10:50,0,-143813,0,0
0,2018-11-17 08:10:51,0,-143665,0,0
0,2018-11-17 08:10:52,0,-143469,0,0
0,2018-11-17 08:10:53,0,-143692,0,0
0,2018-11-17 08:10:54,0,-143639,0,0
0,2018-11-17 08:10:55,0,-143389,0,0
0,2018-11-17 08:10:56,0,-143572,0,0
0,2018-11-17 08:10:57,0,-143631,0,0
0,2018-11-17 08:10:58,0,-143568,0,0
0,2018-11-17 08:10:59,0,-143564,0,0
0,2018-11-17 08:11:00,0,-143627,0,0
0,2018-11-17 08:11:01,0,-143602,0,0
0,2018-11-17 08:11:02,0,-143594,0,0
0,2018-11-17 08:11:03,0,-143573,0,0
0,2018-11-17 08:11:04,0,-143612,0,0
0,2018-11-17 08:11:05,0,-143546,0,0
0,2018-11-17 08:11:06,0,-143574,0,0
0,2018-11-17 08:11:07,0,-143584,0,0
0,2018-11-17 08:11:08,0,-143526,0,0
0,2018-11-17 08:11:09,0,-143554,0,0
0,2018-11-17 08:11:10,0,-143622,0,0
0,2018-11-17 08:11:11,0,-143584,0,0
0,2018-11-17 08:11:12,0,-143593,0,0
